Brasão,Apelido
Abasto coat.jpg,Abasto
Abelho,patronímica
Armas condes almada.jpg,Abranches
Abrantes coat.jpg,Abrantes
Abreu.png,Abreu
Adão,
Adarga,
Afonso coat.jpg,Afonso
Agueda coat.jpg,Águeda
Aguiar.png,Aguiar
Aires coat.jpg,Aires
Albernaz coat.jpg,Albernaz
Albuquerque.png,Albuquerque
Alcaide,
Alcantara2.jpg,Alcântara
Alcoforado,
Aldeia,
Aleixo,patronímica
Armas duques aveiro.png,Alencar
Armas condes almada.jpg,Almada
Almeida,toponímica
Alpuim,
Alvarenga coat.jpg,Alvarenga
Álvares,patronímica
Álvaro,
Fl- 127 I Alvelos.jpg,Alvelos
Brasão-Alves.svg,Alves
Alvim.png,Alvim
Amado.png,Amado
Amaral coat.jpg,Amaral
Amarante,
Amaro,
Amoedo,
Amorim coat.jpg,Amorim
Brasao Andrade.jpg,Andrade
Anes,
Angelim,
Anhaia coat.jpg,Anhaia
Anjos,religiosa
Anlicoara,acrônimo
Antas coat.jpg,Antas
Antunes coat.jpg,Antunes
Aquino,religiosa
Aragao coat.jpg,Aragão
Aranha coat.jpg,Aranha
Arantes coat.jpg,Arantes
Araujo coat.jpg,Araújo
Areosa,
Argolo,
Arouca,toponímica
Arruda coat.jpg,Arruda
Assis,religiosa
Assunção,religiosa
Ataíde coat.jpg,Ataíde
Atilano,
Aveiro,toponímica
Avelar.png,Avelar
Avellar,
"Escudo de Brasãoda familia Ávila, Açores, Portugal.gif",Ávila
Azambuja coat (v).svg,Azambuja
Azenha,
Azeredo.png,Azeredo
Azevedo.png,Azevedo
B,
Brasão,Apelido
Bacelar coat.jpg,Bacelar
Baía,
BrazaoH Baiao.png,Baião
Brasao barreiros.jpg,Bairros
"Escudo de Brasão da familia Baldaia, Portugal.jpg",Baldaia
Balsemão,
Bandeira coat.jpg,Bandeira
Banha,
Baptista,religiosa
Barata.png,Barata
Barateiro,
Barbalho,
Barbosa.png,Barbosa
Barcelos,
Barra,
Barreira,Toponímica
Brasao barreiros.jpg,Barreiros
Barrico,
Barrela,
Barreno,
Barreto,
Barroca,
Barrocas,
Barroqueiro,
Barros coat.jpg,Barros
Brasao barroso.jpg,Barroso
Basílio,
Bastos,
Batata,
Beiriz,
Belchior,
Belchiorinho,
Belém,
Belmonte,
Belo,
Beltrao coat.jpg,Beltrão
Bencatel,
Benevides coat.jpg,Benevides
Bensaúde,
Bentes,patronímica
"Brasão da família Bettencourt, Portugal.jpg",Bettencourt
"Bethecourt,",
Betancour,
Bittencourt,
,
Bento,
COATBERENGUER.png,Berenguer
Berengar,
,
Beranguer,Berenguer
Bernardes,patronímica
Bessa coat.jpg,Bessa
Bezerra.png,Bezerra
Bezerril,
Bicalho,
Bicudo coat.jpg,Bicudo
Bilhalva,
Bingre-Huebinger2.jpg,Bingre
Hybingre,
,
Huebinger,
Bivar,
Boaventura,
Boeira,
Boga,
Bogado,
Bonilha,
Bonito,
Borba,
Borges coat.jpg,Borges
Borja coat.jpg,Borja
