"","x"
"1","Barolo"
"2","Barolo"
"3","Barolo"
"4","Barolo"
"5","Barolo"
"6","Barolo"
"7","Barolo"
"8","Barolo"
"9","Barolo"
"10","Barolo"
"11","Barolo"
"12","Barolo"
"13","Barolo"
"14","Barolo"
"15","Barolo"
"16","Barolo"
"17","Barolo"
"18","Barolo"
"19","Barolo"
"20","Barolo"
"21","Barolo"
"22","Barolo"
"23","Barolo"
"24","Barolo"
"25","Barolo"
"26","Barolo"
"27","Barolo"
"28","Barolo"
"29","Barolo"
"30","Barolo"
"31","Barolo"
"32","Barolo"
"33","Barolo"
"34","Barolo"
"35","Barolo"
"36","Barolo"
"37","Barolo"
"38","Barolo"
"39","Barolo"
"40","Barolo"
"41","Barolo"
"42","Barolo"
"43","Barolo"
"44","Barolo"
"45","Barolo"
"46","Barolo"
"47","Barolo"
"48","Barolo"
"49","Barolo"
"50","Barolo"
"51","Barolo"
"52","Barolo"
"53","Barolo"
"54","Barolo"
"55","Barolo"
"56","Barolo"
"57","Barolo"
"58","Barolo"
"59","Grignolino"
"60","Grignolino"
"61","Grignolino"
"62","Grignolino"
"63","Grignolino"
"64","Grignolino"
"65","Grignolino"
"66","Grignolino"
"67","Grignolino"
"68","Grignolino"
"69","Grignolino"
"70","Grignolino"
"71","Grignolino"
"72","Grignolino"
"73","Grignolino"
"74","Grignolino"
"75","Grignolino"
"76","Grignolino"
"77","Grignolino"
"78","Grignolino"
"79","Grignolino"
"80","Grignolino"
"81","Grignolino"
"82","Grignolino"
"83","Grignolino"
"84","Grignolino"
"85","Grignolino"
"86","Grignolino"
"87","Grignolino"
"88","Grignolino"
"89","Grignolino"
"90","Grignolino"
"91","Grignolino"
"92","Grignolino"
"93","Grignolino"
"94","Grignolino"
"95","Grignolino"
"96","Grignolino"
"97","Grignolino"
"98","Grignolino"
"99","Grignolino"
"100","Grignolino"
"101","Grignolino"
"102","Grignolino"
"103","Grignolino"
"104","Grignolino"
"105","Grignolino"
"106","Grignolino"
"107","Grignolino"
"108","Grignolino"
"109","Grignolino"
"110","Grignolino"
"111","Grignolino"
"112","Grignolino"
"113","Grignolino"
"114","Grignolino"
"115","Grignolino"
"116","Grignolino"
"117","Grignolino"
"118","Grignolino"
"119","Grignolino"
"120","Grignolino"
"121","Grignolino"
"122","Grignolino"
"123","Grignolino"
"124","Grignolino"
"125","Grignolino"
"126","Grignolino"
"127","Grignolino"
"128","Grignolino"
"129","Grignolino"
"130","Barbera"
"131","Barbera"
"132","Barbera"
"133","Barbera"
"134","Barbera"
"135","Barbera"
"136","Barbera"
"137","Barbera"
"138","Barbera"
"139","Barbera"
"140","Barbera"
"141","Barbera"
"142","Barbera"
"143","Barbera"
"144","Barbera"
"145","Barbera"
"146","Barbera"
"147","Barbera"
"148","Barbera"
"149","Barbera"
"150","Barbera"
"151","Barbera"
"152","Barbera"
"153","Barbera"
"154","Barbera"
"155","Barbera"
"156","Barbera"
"157","Barbera"
"158","Barbera"
"159","Barbera"
"160","Barbera"
"161","Barbera"
"162","Barbera"
"163","Barbera"
"164","Barbera"
"165","Barbera"
"166","Barbera"
"167","Barbera"
"168","Barbera"
"169","Barbera"
"170","Barbera"
"171","Barbera"
"172","Barbera"
"173","Barbera"
"174","Barbera"
"175","Barbera"
"176","Barbera"
"177","Barbera"
