nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0266094	Giorgio Faletti	1950	2014	actor,writer	tt0772187,tt1565773,tt0814380,tt0084681
nm0794510	Himani Shivpuri	1960	\N	actress	tt0112870,tt0248126,tt0286672,tt0172684
nm1261186	Kenji Nojima	1976	\N	actor	tt0486673,tt0434694,tt3124992,tt0436034
nm10057321	Younis Khan	\N	\N		tt9056662,tt2317751,tt3662330,tt9056532
nm1415620	Carlos Galofré	\N	\N	writer	tt9651844,tt1499588,tt0446823,tt1244386
nm3253005	Carlos Eloy Castro	\N	\N	writer	tt1320211,tt11244786,tt11645094,tt1686718
nm0587401	Tomas Milian	1933	2017	actor,writer,soundtrack	tt0075152,tt0102138,tt0181865,tt0118607
nm0804653	Jan Skopecek	1925	\N	actor,writer	tt0125301,tt0183561,tt3630708,tt0083162
nm0152211	Marc Chapiteau	1946	\N	actor,composer,director	tt0356459,tt0286917,tt0354086,tt0450188
nm1880987	Nils Olsson	1982	\N	sound_department,actor,director	tt7745012,tt7913548,tt5335682,tt4277692
nm0573093	Vince McMahon	1945	\N	producer,writer,actor	tt0277296,tt0419946,tt0185103,tt0327850
nm0153772	Ilka Chase	1905	1978	actress,soundtrack	tt0022628,tt0054135,tt0129672,tt0035140
nm1973289	Brandon Tyra	\N	\N	production_manager,miscellaneous,actor	tt2261611,tt1212399,tt7736544,tt3437720
nm0018056	Cláudia Alencar	1950	\N	actress,production_designer,art_director	tt0294543,tt0486791,tt0149517,tt0853068
nm9449689	Kalki	\N	\N	actor	tt9377880,tt7322850
nm0866967	Anna Tomowa-Sintow	1941	\N	actress,soundtrack	tt0258096,tt0335704,tt0254090,tt0239352
nm1791289	Kevin O'Sullivan	\N	\N		tt0268862,tt3361146,tt2267661,tt0981201
nm1523343	Ljudevit Grguric-Grga	\N	\N	actor	tt0393225,tt6088210,tt0393224,tt0393226
nm10212987	Ava Rose Houben-Carter	\N	\N		\N
nm0658885	Luciana Paluzzi	1937	\N	actress,producer	tt0052295,tt0059800,tt0223839,tt0064393
