tconst	ordering	nconst	category	job	characters
tt2800382	10	nm0614533	producer	producer	\N
tt2800382	1	nm0470315	actor	\N	["Arno Brandner"]
tt2800382	2	nm0785795	actress	\N	["Elisabeth Brandner"]
tt2800382	3	nm1065525	actor	\N	["Martin von Beyenbach"]
tt2800382	4	nm0120801	actress	\N	["Beatrice von Beyenbach"]
tt2800382	5	nm5387978	director	\N	\N
tt2800382	6	nm2065330	writer	storyline	\N
tt2800382	7	nm3196702	writer	story editor	\N
tt2800382	8	nm1284234	writer	dialogue	\N
tt2800382	9	nm0061952	producer	producer	\N
tt6805982	1	nm0921957	actor	\N	["Narrated by"]
tt6805982	2	nm6024839	editor	output/finish editor	\N
tt6805982	3	nm1935727	editor	\N	\N
tt3081544	10	nm5166589	actor	\N	["Máicol da Silva"]
tt3081544	1	nm2694342	actor	\N	["Valdo (Valdomiro Lacerda)"]
tt3081544	2	nm0008107	actress	\N	["Dona Jô (Maria Joana da Anunciação Prazeres)"]
tt3081544	3	nm1832579	actor	\N	["Wilson"]
tt3081544	4	nm2778042	actress	\N	["Terezinha (Tereza Sampaio Tiziu)"]
tt3081544	5	nm5772407	director	\N	\N
tt3081544	6	nm0735083	director	\N	\N
tt3081544	7	nm4869216	composer	\N	\N
tt3081544	8	nm5834750	editor	\N	\N
tt3081544	9	nm4768001	actor	\N	["Ferdinando Beyoncé Ramirez Travacius"]
tt7732824	1	nm9478780	actor	\N	["Gimp"]
tt7732824	2	nm9472832	actor	\N	["Tombass"]
tt7732824	3	nm9478779	actor	\N	["McSatan"]
tt7732824	4	nm4594613	actor	\N	["Dj Korpserape"]
tt7732824	5	nm9474892	actor	\N	["Tig"]
tt0228673	1	nm0353624	actor	\N	["Grizzly Adams"]
tt0228673	2	nm5861987	actress	\N	["Debbie"]
tt0228673	3	nm0193411	actor	\N	["Uncle Ned"]
tt0228673	4	nm0303168	actor	\N	["Sam"]
tt0228673	5	nm0387002	director	\N	\N
tt0228673	6	nm0751044	writer	written by	\N
tt0228673	7	nm0799785	writer	written by	\N
tt0228673	8	nm0386141	cinematographer	\N	\N
tt0228673	9	nm5861989	editor	\N	\N
tt4434952	1	nm6921249	self	\N	["Herself"]
tt5463466	10	nm0838330	actor	\N	\N
tt5463466	1	nm0284365	actor	\N	["McQueen"]
tt5463466	2	nm0316920	actress	\N	["Denise"]
tt5463466	3	nm1038912	actor	\N	["Dempser"]
tt5463466	4	nm0197391	actor	\N	["Peters"]
tt5463466	5	nm0779562	writer	\N	\N
tt5463466	6	nm1034107	actor	\N	["Bennet"]
tt5463466	7	nm7478597	actress	\N	\N
tt5463466	8	nm0708174	actor	\N	["Hillyer"]
tt5463466	9	nm0735471	actor	\N	["Graham Forbes"]
tt10263446	1	nm1377782	director	\N	\N
tt6046972	1	nm0001898	self	\N	["Himself"]
tt6046972	2	nm0163863	self	\N	["Himself - Host"]
tt6046972	3	nm1436471	self	\N	["Herself"]
tt2445804	10	nm0093529	cinematographer	\N	\N
tt2445804	1	nm0197118	actress	\N	["Strumpemamma","Änglaljus"]
tt2445804	2	nm0296823	actress	\N	["Syster Yster"]
tt2445804	3	nm0632320	actor	\N	["Strumpepappa","Solo"]
tt2445804	4	nm0922585	actor	\N	["Staffan Stalledräng","Lillstrumpa"]
tt2445804	5	nm0911200	producer	producer	\N
tt2445804	6	nm0356303	composer	\N	\N
tt2445804	7	nm0027632	cinematographer	\N	\N
tt2445804	8	nm0029310	cinematographer	\N	\N
tt2445804	9	nm0088998	cinematographer	\N	\N
tt6050262	1	nm0001075	actor	\N	["Narrator"]
tt8167748	10	nm0840839	writer	story	\N
tt8167748	1	nm0261805	actor	\N	["Juan Daniel Villegas 'Johnny'"]
tt8167748	2	nm0508248	actress	\N	["Ana María de Villegas"]
tt8167748	3	nm0311027	actress	\N	["Tania García"]
tt8167748	4	nm0733780	actor	\N	["Ismael Montegarza"]
tt8167748	5	nm0009691	director	\N	\N
tt8167748	6	nm0306236	director	\N	\N
tt8167748	7	nm0348735	director	\N	\N
tt8167748	8	nm0488665	writer	idea	\N
tt8167748	9	nm0996348	writer	story	\N
tt3895686	1	nm9023098	actress	\N	["Elli"]
tt3895686	2	nm3953473	director	\N	\N
tt3895686	3	nm3906139	writer	writer	\N
tt3895686	4	nm7821632	writer	writer	\N
tt2236665	1	nm0685043	self	\N	["Himself - Host"]
tt0693690	10	nm1465512	self	\N	["Herself - Entrevistadora"]
tt0693690	1	nm1414834	self	\N	["Himself - Host"]
tt0693690	2	nm1467859	self	\N	["Himself - Entrevistador"]
tt0693690	3	nm1980218	self	\N	["Herself"]
tt0693690	4	nm1462503	self	\N	["Herself - Entrevistadora"]
tt0693690	5	nm1419052	director	\N	\N
tt0693690	6	nm2139051	composer	\N	\N
tt0693690	7	nm1415151	self	\N	["Himself - Entrevistador"]
tt0693690	8	nm0386839	self	\N	["Himself - Entrevistador"]
tt0693690	9	nm1532624	self	\N	["Herself"]
tt5679906	10	nm0170990	self	\N	["Himself"]
tt5679906	1	nm0285513	self	\N	["Himself - Host"]
tt5679906	2	nm9741140	self	\N	["Themselves"]
tt5679906	3	nm0925024	self	\N	["Himself"]
tt5679906	4	nm0838243	self	\N	["Herself"]
tt5679906	5	nm0002182	self	\N	["Himself"]
tt5679906	6	nm1035056	self	\N	["Himself"]
tt5679906	7	nm0055690	self	\N	["Herself"]
tt5679906	8	nm0073855	self	\N	["Herself"]
tt5679906	9	nm0000917	self	\N	["Herself"]
tt0254090	10	nm0229911	actor	\N	["Incredible"]
tt0254090	1	nm0004881	actor	\N	["Andrea Chénier"]
tt0254090	2	nm0866967	actress	\N	["Maddalena di Coigny"]
tt0254090	3	nm0952829	actor	\N	["Carlo Gérard"]
tt0254090	4	nm0838735	actor	\N	["Roucher"]
tt0254090	5	nm0123598	director	\N	\N
tt0254090	6	nm0407794	writer	libretto	\N
tt0254090	7	nm1084381	producer	producer	\N
tt0254090	8	nm1221451	production_designer	\N	\N
tt0254090	9	nm0117950	actress	\N	["Bersi"]
tt6300554	1	nm7065849	self	\N	["Herself"]
tt6300554	2	nm8623768	director	\N	\N
tt6656378	1	nm8856229	actress	\N	["Jeanne"]
tt6656378	2	nm8058816	actor	\N	["Paul"]
tt6656378	3	nm7593798	actor	\N	["Pierre"]
tt6656378	4	nm8856230	actress	\N	["Camille"]
tt6656378	5	nm8852665	director	\N	\N
tt6656378	6	nm5120310	cinematographer	\N	\N
tt1660222	10	nm0734509	self	\N	["Himself - Announcer"]
tt1660222	1	nm0054837	self	\N	["Himself - Host"]
tt1660222	2	nm0103307	self	\N	["Herself - Model"]
tt1660222	3	nm0356775	self	\N	["Herself - Model"]
tt1660222	4	nm0005274	self	\N	["Herself - Model"]
tt1660222	5	nm0022750	director	\N	\N
tt1660222	6	nm0229703	producer	producer	\N
tt1660222	7	nm0744287	producer	producer	\N
tt1660222	8	nm0435664	composer	\N	\N
tt1660222	9	nm0672176	self	\N	["Herself - Model"]
tt1008788	10	nm0948957	producer	producer	\N
tt1008788	1	nm0299228	actor	\N	["Seiya"]
tt1008788	2	nm0368060	actor	\N	["Hyôga"]
tt1008788	3	nm0794060	actor	\N	["Mû"]
tt1008788	4	nm0594488	actor	\N	["Mitsumasa"]
tt1008788	5	nm1866157	director	\N	\N
tt1008788	6	nm1662710	director	\N	\N
tt1008788	7	nm0605672	director	\N	\N
tt1008788	8	nm0468715	writer	written by	\N
tt1008788	9	nm1030700	writer	manga	\N
tt0722537	1	nm0124628	self	\N	["Himself"]
tt1866099	1	nm4375441	director	\N	\N
tt1866099	2	nm4375489	director	\N	\N
tt1866099	3	nm4374676	director	\N	\N
tt8396004	1	nm0163863	self	\N	["Himself - Host"]
tt8396004	2	nm0679018	self	\N	["Herself - Celebrity Contestant"]
tt8396004	3	nm0722440	self	\N	["Himself - Celebrity Contestant"]
tt8042434	1	nm2472626	actress	\N	["Roxy"]
tt8042434	2	nm8280838	actress	\N	["Steffy"]
tt8042434	3	nm9091128	actor	\N	["Heatwave"]
tt10465396	10	nm0821099	writer	head writer	\N
tt10465396	1	nm0021136	actress	\N	["Kass (1958-1961)"]
tt10465396	2	nm0168454	actor	\N	["Ben Fraser, Senior #1 (1958) (original cast)"]
tt10465396	3	nm0282535	actress	\N	["Liz Fraser Allen (1958-1961)"]
tt10465396	4	nm0066875	director	\N	\N
tt10465396	5	nm0483582	director	\N	\N
tt10465396	6	nm0884037	director	\N	\N
tt10465396	7	nm0908607	director	\N	\N
tt10465396	8	nm1180618	writer	co-creator	\N
tt10465396	9	nm1183865	writer	co-creator	\N
tt0903403	1	nm1450693	director	\N	\N
tt0903403	2	nm1433581	writer	writer	\N
tt0903403	3	nm0046109	producer	producer	\N
tt1640944	10	nm6188253	writer	writer	\N
tt1640944	1	nm0133213	actor	\N	["Guillermo Bernard"]
tt1640944	2	nm0010248	actress	\N	["Soledad Gutiérrez"]
tt1640944	3	nm0530308	actress	\N	["Kiara Montero"]
tt1640944	4	nm3634143	actor	\N	["Leo Cruz"]
tt1640944	5	nm1492333	writer	writer	\N
tt1640944	6	nm3778967	writer	writer	\N
tt1640944	7	nm1902474	writer	writer	\N
tt1640944	8	nm7262053	writer	writer	\N
tt1640944	9	nm1406583	writer	creator	\N
tt3956334	1	nm9862387	actress	\N	["Ciao Ciao"]
tt3956334	2	nm9636805	actor	\N	["Li Wei"]
tt3956334	3	nm4990930	director	\N	\N
