tconst	averageRating	numVotes
tt2208231	7.1	493
tt0295269	5.4	312
tt1997031	9.8	38
tt0918501	6.0	5
tt0578385	7.5	39
tt6658180	8.0	211
tt0242289	5.7	10
tt0743967	7.7	56
tt0446511	5.8	22
tt2156040	5.2	8
tt4030542	9.4	20
tt0842424	7.3	7
tt7019686	8.5	6
tt5923762	9.1	47
tt0857700	7.2	30
tt0572577	7.1	64
tt0036663	4.7	22
tt0512574	8.5	230
tt7676212	7.9	29
tt7287730	6.9	7
tt1515954	4.2	5
tt4910136	8.2	37
tt3043434	7.6	21
tt3956334	5.9	95
tt2276463	8.5	179
tt1106703	8.6	170
tt0361467	4.6	26422
tt0103839	5.3	41
tt1455270	5.8	271
tt3160242	9.1	14
tt0037902	6.2	32
tt3416244	5.8	5
tt5010664	7.5	500
tt1155563	4.8	5
tt10520762	8.4	5
tt0081662	7.0	866
tt0645035	8.3	31
tt2429636	8.9	8
tt6226404	5.6	18
tt1095761	8.4	5
tt0246098	8.1	55
tt1840343	5.5	39
tt1933649	3.4	48
tt0254090	7.7	22
tt1416893	7.8	17
tt7829862	8.6	865
tt7816524	1.4	21
tt1559429	7.8	20
tt5209386	6.8	5
tt1008788	8.0	69
tt0150515	5.5	23
tt0242879	6.1	10
tt7395948	4.1	7
tt0081269	5.4	2229
tt3350432	7.4	14
tt2123882	8.2	5
tt0567797	8.5	22
tt0772187	6.4	4038
tt1126562	8.7	16
tt0170138	5.0	6
tt0321542	5.5	11
tt1404668	5.6	11
tt7632348	3.4	8
tt0398693	5.9	62
tt0527216	6.9	22
tt9383148	7.8	12
tt5871702	9.7	7
tt1068929	6.5	31
tt0654316	6.5	30
tt0589777	7.7	237
tt0583522	8.4	2706
tt0228673	8.2	29
tt4123630	7.7	268
tt9367772	8.6	7
tt0282631	7.2	25
tt0604615	6.6	8
tt6688286	7.7	195
tt0543850	6.8	16
tt1977190	5.0	31
tt3659134	8.4	198
tt0368968	8.2	20
tt2241547	4.8	29
tt0086884	5.5	526
tt4238824	4.4	15
tt0225190	6.1	13
tt5299604	8.1	23
tt10687390	8.2	6
tt0058384	5.0	1196
tt7334672	5.8	8
tt1172068	7.2	14
tt0488962	5.3	2385
tt0825841	8.0	154
tt0735280	6.3	6
tt4794550	7.2	100
tt0389515	8.8	12
tt1046668	8.7	37
tt0240712	7.8	5
tt4029868	7.5	233
tt4603780	8.9	8
tt0419287	3.0	44
tt8060288	6.3	78
tt0388141	6.6	468
tt2099644	9.0	5
tt0874549	8.3	17
tt7647140	5.2	5
