tconst	averageRating	numVotes
tt0886437	7.2	35
tt4443642	6.9	340
tt0295167	7.3	6
tt8094178	6.1	7
tt0382629	5.8	11
tt0211890	7.5	200
tt0547206	7.6	5
tt2831148	7.9	15
tt0383727	5.4	13
tt1516503	7.7	36
tt0949053	6.9	72
tt0352704	5.4	34
tt7503574	8.7	24
tt2136855	6.0	126
tt6521176	5.7	17
tt0225222	7.6	17
tt2064525	9.5	37
tt6932056	8.0	5
tt3341916	6.7	7
tt1340223	8.1	34
tt2133573	6.4	18
tt11189292	7.2	6
tt7737982	8.0	11
tt4281660	6.5	8
tt9261310	6.8	6
tt1065126	5.6	14
tt1739529	7.3	10
tt5464990	6.9	125
tt7025134	6.8	13
tt0951228	6.6	5
tt4052100	8.7	7
tt1864017	8.0	1521
tt2933730	3.0	195
tt0934869	5.2	5
tt2140281	8.8	15
tt3995358	7.2	13
tt3477108	7.3	9
tt1039140	5.4	21
tt7567114	7.6	19
tt0446112	4.4	5
tt0019380	6.9	14
tt0519588	8.7	1027
tt11218422	7.2	9
tt6881740	3.8	159
tt1433697	7.2	9
tt6655006	7.4	7
tt8262256	7.0	8
tt0227937	6.2	9
tt8108206	8.3	2928
tt1422201	4.3	236
tt0523131	7.1	169
tt2865810	8.1	88
tt4145892	6.4	8
tt6722788	6.8	83
tt1934208	7.0	35
tt1254348	5.9	9
tt0185127	6.3	9
tt1024938	7.9	379
tt0112497	5.2	21
tt0065841	5.9	8
tt9909826	7.0	31
tt4417314	5.5	36
tt7604686	6.7	7
tt5732752	2.6	30
tt5077852	7.9	14
tt0714729	6.7	9
tt1696881	8.8	17
tt0120300	5.4	38
tt5281996	5.3	6
tt7391482	8.7	21
tt3401178	7.6	50
tt0318183	8.4	19
tt6274000	7.7	6
tt0984612	7.9	28
tt0098268	5.5	88
tt1359987	7.9	8
tt0102930	6.6	219
tt0059211	6.9	142
tt1415379	6.9	123
tt3438444	4.4	31
tt2612094	8.0	6
tt1621932	8.2	9
tt9624772	8.4	16
tt8211556	7.2	20
tt3459348	7.9	9
tt0959238	8.3	16
tt0372936	8.2	84
tt5696362	7.6	12
tt1409748	7.2	73
tt0409317	4.3	6
tt0066648	7.2	193
tt0113451	5.3	10870
tt0126948	3.8	255
tt4599744	4.0	5
tt7984234	8.8	5
tt0556284	8.3	903
tt6301054	8.2	5
tt0380859	5.0	7
tt8330086	8.9	12
tt0405126	7.2	5
tt0146793	6.8	148
tt7524154	8.3	13
tt3147108	7.9	14
tt4020348	6.3	6
tt0183249	5.7	16
tt0638373	7.4	243
tt0109671	7.6	64
tt2171202	9.7	18
tt3889092	5.4	9
tt0088203	5.2	12
tt10771524	6.9	24
tt0440727	7.3	11
tt0063957	7.8	79
tt2272059	7.9	17
tt1038429	6.5	41
tt2218554	3.0	8
tt6613840	8.4	114
tt2595474	6.7	74
tt1612317	8.3	402
tt7350124	6.8	18
tt0387651	6.0	10
tt1683219	6.3	12
tt1051983	8.1	24
tt0657522	8.2	54
tt8307922	7.5	58
tt4005894	4.6	5
tt1184616	9.5	6
tt7664236	6.7	12
tt1461918	8.3	11
tt2091189	7.7	36
